p_index,zeta_index,p,zeta,S_mean,S_var,giant_fraction,threshold_estimate,omega_abs,dS_dzeta
0,0,0.3,-0.1,0.05546875,4.119873046875e-05,0.0,0.3636363636363636,0.7500000000000001,0.5937500000000001
0,1,0.3,-0.05,0.08515625,0.0007888793945312,0.0,0.3636363636363636,0.7343750000000002,0.1484375
0,2,0.3,0.0,0.0703125,0.000335693359375,0.0,0.3636363636363636,1.6171875000000002,-0.2109375
0,3,0.3,0.05,0.0640625,8.850097656250001e-05,0.0,0.3636363636363636,0.9921875,-0.09375
0,4,0.3,0.1,0.0609375,0.0003860473632812,0.0,0.3636363636363636,0.2265625,-0.0624999999999999
1,0,0.3999999999999999,-0.1,0.13046875,0.0028579711914062,0.0,0.3636363636363636,1.87890625,0.5625000000000002
1,1,0.3999999999999999,-0.05,0.15859375,0.0009048461914062,0.0,0.3636363636363636,2.50390625,1.015625
1,2,0.3999999999999999,0.0,0.23203125,0.008099365234375,0.0,0.3636363636363636,1.88671875,0.0468749999999998
1,3,0.3999999999999999,0.05,0.16328125,0.0022232055664062,0.0,0.3636363636363636,1.8359375,-1.484375
1,4,0.3999999999999999,0.1,0.08359375,0.000653076171875,0.0,0.3636363636363636,1.37109375,-1.5937500000000002
2,0,0.5,-0.1,0.43125,0.0478713989257812,0.4,0.3636363636363636,3.41015625,3.09375
2,1,0.5,-0.05,0.5859375,0.0348434448242187,0.8,0.3636363636363636,3.05078125,0.1640624999999995
2,2,0.5,0.0,0.44765625,0.0237091064453125,0.4,0.3636363636363636,3.3125,-1.5468749999999996
2,3,0.5,0.05,0.43125,0.0229995727539062,0.8,0.3636363636363636,2.87890625,-1.1249999999999998
2,4,0.5,0.1,0.33515625,0.0264236450195312,0.2,0.3636363636363636,2.75,-1.921875000000001
3,0,0.6,-0.1,0.8125,0.0109329223632812,1.0,0.3636363636363636,2.7187500000000004,-0.8749999999999991
3,1,0.6,-0.05,0.76875,0.0144302368164062,1.0,0.3636363636363636,2.0117187500000004,0.8203125
3,2,0.6,0.0,0.89453125,0.0087051391601562,1.0,0.3636363636363636,2.613281250000001,-0.2968750000000008
3,3,0.6,0.05,0.7390625,0.0157424926757812,1.0,0.3636363636363636,2.4492187500000004,-2.6093750000000004
3,4,0.6,0.1,0.63359375,0.051715087890625,0.8,0.3636363636363636,2.7421875,-2.1093750000000004
4,0,0.7,-0.1,0.975,0.000286865234375,1.0,0.3636363636363636,1.6250000000000002,0.2656250000000004
4,1,0.7,-0.05,0.98828125,7.62939453125e-05,1.0,0.3636363636363636,2.1953125,-0.0468749999999995
4,2,0.7,0.0,0.9703125,0.0005233764648437,1.0,0.3636363636363636,0.7578125000000004,-0.6718749999999994
4,3,0.7,0.05,0.92109375,0.0001327514648437,1.0,0.3636363636363636,1.820312500000001,-0.8671875000000007
4,4,0.7,0.1,0.88359375,0.0002243041992187,1.0,0.3636363636363636,2.5000000000000004,-0.750000000000002
